"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"CHI","BOS",69,71,TRUE,0.299999999999997,-0.200000000000003,-0.5
2013,"DEN","BRK",108,119,TRUE,5.30000000000001,2,-3.30000000000001
2013,"SAS","CLE",96,95,FALSE,6.7,-5.10000000000001,-11.8
2013,"SAC","DAL",100,123,TRUE,-5.2,-0.599999999999994,4.60000000000001
2013,"WAS","DET",85,96,TRUE,-2.8,-4.3,-1.5
2013,"CHA","IND",77,101,TRUE,-10,4.5,14.5
2013,"HOU","LAC",96,106,TRUE,3.60000000000001,7,3.39999999999999
2013,"PHI","MIL",92,94,TRUE,-3.7,-1.60000000000001,2.09999999999999
2013,"UTA","MIN",97,93,FALSE,-0.0999999999999943,-2.5,-2.40000000000001
2013,"POR","NOH",63,99,TRUE,-3.40000000000001,-4.39999999999999,-0.999999999999986
2013,"TOR","NYK",92,88,FALSE,-1.59999999999999,4.8,6.39999999999999
2013,"ATL","ORL",108,76,FALSE,0.399999999999991,-7.5,-7.89999999999999
2013,"LAC","LAL",125,101,FALSE,7,1.2,-5.8
2013,"MIA","OKC",110,100,FALSE,8.59999999999999,9.80000000000001,1.20000000000002
2013,"MIL","BRK",111,113,TRUE,-1.60000000000001,2,3.60000000000001
2013,"BOS","DEN",90,97,TRUE,-0.200000000000003,5.30000000000001,5.50000000000001
2013,"MEM","DET",105,91,FALSE,4.60000000000001,-4.3,-8.90000000000001
2013,"CHI","NOH",96,87,FALSE,0.299999999999997,-4.39999999999999,-4.69999999999999
2013,"CHA","ORL",105,92,FALSE,-10,-7.5,2.5
2013,"PHO","POR",102,98,FALSE,-6.89999999999999,-3.40000000000001,3.49999999999999
