"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Xavier Munford","MIL",2,0,45.7,"SG",0,109.8
"Dejounte Murray","SAS",956,46.6,21.4,"PG",105.8,108
"Jamal Murray","DEN",1435,57,23.9,"PG",112.3,105.7
"Mike Muscala","ATL",329,63.9,14.7,"C",101.8,107.1
"Abdel Nader","BOS",164,43.3,15.4,"SF",94.8,108.2
"Larry Nance","LAL",827,60.5,15.4,"PF",105.1,104.9
"Shabazz Napier","POR",923,57.9,19.9,"PG",108.6,108.9
"Jameer Nelson","NOP",870,51.1,13,"PG",109.3,111.3
"Raul Neto","UTA",307,56,18.2,"PG",111.2,105.8
"Joakim Noah","NYK",40,51,17.4,"C",84.9,108.8
"Nerlens Noel","DAL",225,58.7,15.6,"C",95.7,108.3
"Lucas Nogueira","TOR",290,64.8,11.2,"C",108,113.9
"Dirk Nowitzki","DAL",1241,57,20.7,"C",106.5,107.8
"Frank Ntilikina","NYK",959,42.6,17.3,"PG",105.5,110.3
"Jusuf Nurkic","POR",1226,50.8,27.5,"C",106.8,111.1
"David Nwaba","CHI",840,58.1,14.1,"SG",108.8,102.6
"Johnny O'Bryant","CHO",348,47.6,22.8,"PF",98.8,108.9
"Royce O'Neale","UTA",418,53.2,16.9,"SF",112.6,105.2
"Kyle O'Quinn","NYK",815,62.9,17.6,"C",109.2,108
"Semi Ojeleye","BOS",570,44.5,9.9,"PF",99.3,109.7
"Jahlil Okafor",NA,194,53.2,21.5,"C",NA,NA
"Jahlil Okafor","PHI",25,46.5,23.4,"C",91.1,107.4
"Jahlil Okafor","BRK",169,54.1,21.3,"C",95.1,106.7
"Victor Oladipo","IND",1543,59.3,30.3,"SG",112.6,107.2
"Kelly Olynyk","MIA",1148,61.3,21.2,"PF",111,101.9
"Cedi Osman","CLE",299,57.8,12.9,"SF",112.1,111.9
"Kelly Oubre","WAS",1338,57.9,18.6,"SF",109.4,109.7
"Zaza Pachulia","GSW",585,64,16.4,"C",122.6,114
"Marcus Paige","CHO",3,0,28.8,"PG",0,107.5
"Georgios Papagiannis","SAC",106,41,19.5,"C",113.4,102.6
"Tony Parker","SAS",529,49.5,20.9,"PG",105.5,107.6
"Chandler Parsons","MEM",545,60,18.4,"SF",110.5,104.7
"Patrick Patterson","OKC",716,54.3,10.8,"PF",104.6,112.4
"Brandon Paul","SAS",465,51.7,13.3,"SG",101.9,108.4
"Chris Paul","HOU",968,61,24.7,"PG",118.3,113.3
"Adreian Payne","ORL",43,83.1,14.8,"PF",103.5,106.4
"Elfrid Payton","ORL",1143,57,21.4,"PG",108.2,104.5
"Gary Payton",NA,124,43.6,16.1,"PG",NA,NA
"Gary Payton","MIL",106,43.7,16.1,"PG",110.3,109.7
"Gary Payton","LAL",18,42.9,16.4,"PG",122.9,104.9
"London Perrantes","CLE",3,0,14.8,"PG",50,112
"Alec Peters","PHO",62,40.4,12.5,"PF",106.7,105.5
"Marshall Plumlee","MIL",18,92.6,18.8,"C",100,109.8
"Mason Plumlee","DEN",1019,55.9,16.9,"C",110.8,108.8
"Miles Plumlee","ATL",520,58.9,12.5,"C",104.8,106.8
